SKU,Week,Promo Depth %,Traffic,Conversion %,AOV,Base Price,Unit Cost,Units Sold,,,,,
AN201,1,0.14,788,0.17,240.72,229.00,111.37,134,,,,,
AN202,1,0.30,"1,557",0.07,182.19,229.00,88.94,109,,,,,
AN205,1,0.04,"1,450",0.08,313.44,241.00,102.56,116,,,,,
AN206,1,0.20,"4,167",0.03,240.21,249.00,111.61,125,,,,,
AN208,1,0.07,"1,100",0.12,261.99,229.00,119.88,132,,,,,
AN209,1,0.25,"3,200",0.05,207.22,235.00,123.02,160,,,,,
AN213,1,0.17,630,0.23,239.02,229.00,123.69,145,,,,,
BL003,1,0.28,"2,420",0.00,328.45,412.00,165.93,121,,,,,
BL006,1,0.20,411,0.37,346.34,364.76,163.34,152,,,,,
BL008,1,0.17,"5,067",0.03,390.91,339.00,145.64,152,,,,,
BL009,1,0.13,"1,267",0.09,"1,008.97","1,017.00",555.79,114,,,,,
BL015,1,0.24,486,0.21,368.65,379.00,145.96,102,,,,,
BL023,1,0.12,"1,064",0.11,392.25,383.00,156.45,117,,,,,
BL035,1,0.09,"1,638",0.08,894.18,744.00,382.34,131,,,,,
BL050,1,0.19,"1,467",0.09,336.40,379.00,196.74,132,,,,,
BL057,1,0.00,"1,275",0.08,525.82,378.44,196.34,102,,,,,
BL079,1,0.04,"16,300",0.01,497.84,429.00,213.76,163,,,,,
BL099,1,0.10,771,0.14,264.01,259.00,119.34,108,,,,,
BL102,1,0.18,"1,812",0.08,228.46,259.00,123.43,145,,,,,
BL103,1,0.12,"21,450",0.02,449.09,460.00,230.23,429,,,,,
BL104,1,0.17,203,0.67,496.09,485.17,216.38,136,,,,,
BL107,1,0.03,166,0.70,361.40,319.00,167.89,116,,,,,
BL109,1,0.10,231,0.45,601.84,499.00,249.67,104,,,,,
BL110,1,0.00,"4,400",0.03,411.08,342.33,166.96,132,,,,,
BL111,1,0.26,"2,038",0.08,235.60,280.00,132.29,163,,,,,
BL113,1,0.01,"1,350",0.10,617.90,493.00,205.34,135,,,,,
BTM029,1,0.20,359,0.34,537.63,518.00,267.32,122,,,,,
BTM030,1,0.27,226,0.58,229.81,284.00,131.37,131,,,,,
BTM032,1,0.06,"14,100",0.01,309.52,297.00,133.44,141,,,,,
BTM033,1,0.02,"4,767",0.03,309.35,297.00,161.00,143,,,,,
BTM036,1,0.01,"2,850",0.04,488.09,377.00,168.41,114,,,,,
BTM037,1,0.16,"3,867",0.03,387.78,360.00,187.56,116,,,,,
BTM038,1,0.30,"7,500",0.02,320.93,377.00,203.18,150,,,,,
BTM039,1,0.15,853,0.15,411.71,360.00,139.93,128,,,,,
BTM040,1,0.22,"1,714",0.07,358.44,345.00,133.12,120,,,,,
BTM041,1,0.04,"1,436",0.11,415.61,345.00,142.34,158,,,,,
BTM042,1,0.30,624,0.21,319.38,337.00,167.90,131,,,,,
BTM043,1,0.08,"2,740",0.05,389.17,377.00,201.09,137,,,,,
BTM044,1,0.15,149,0.93,333.29,360.00,156.12,139,,,,,
BTM047,1,0.06,"1,425",0.08,379.20,352.50,167.50,114,,,,,
CH204,1,0.24,755,0.20,230.94,284.00,150.31,151,,,,,
J0001,1,0.16,"13,800",0.01,716.33,690.00,321.42,138,,,,,
J0002,1,0.25,"1,633",0.09,"1,175.99","1,138.02",619.26,147,,,,,
J0003,1,0.14,"5,533",0.03,613.70,670.83,265.26,166,,,,,
J0004,1,0.17,"7,900",0.02,"1,022.16","1,127.00",570.27,158,,,,,
J0005,1,0.05,691,0.23,"1,247.49","1,086.80",475.33,159,,,,,
J0006,1,0.30,"4,733",0.03,"1,001.91","1,039.55",516.66,142,,,,,
J0007,1,0.24,"1,600",0.08,958.59,"1,086.71",501.61,128,,,,,
J0008,1,0.26,"2,229",0.07,989.04,"1,088.80",497.65,156,,,,,
J0009,1,0.20,32,3.50,768.57,902.45,467.99,111,,,,,
J0010,1,0.22,"1,629",0.07,858.64,999.00,384.79,114,,,,,
J0011,1,0.22,824,0.17,"1,449.67","1,331.99",557.07,140,,,,,
J0012,1,0.20,"1,800",0.08,"1,300.47","1,171.35",457.16,144,,,,,
J0013,1,0.27,"1,450",0.08,836.09,"1,089.00",433.29,116,,,,,
J0014,1,0.22,"3,400",0.04,"1,503.99","1,394.07",625.04,136,,,,,
J0020,1,0.20,744,0.16,581.82,571.00,224.56,119,,,,,
J0023,1,0.07,131,0.91,502.34,399.00,213.45,119,,,,,
J0025,1,0.09,"2,420",0.00,720.50,654.80,338.32,121,,,,,
J0027,1,0.30,441,0.29,538.33,625.00,338.94,128,,,,,
J0028,1,0.29,456,0.27,278.30,321.00,158.80,123,,,,,
J0029,1,0.05,881,0.16,432.83,355.00,171.79,141,,,,,
J0033,1,0.02,"1,236",0.11,450.68,418.50,210.87,136,,,,,
J0034,1,0.07,"1,522",0.09,724.24,734.33,300.43,137,,,,,
J0038,1,0.04,107,1.17,750.24,675.00,330.31,125,,,,,
J0041,1,0.04,"2,920",0.05,900.88,723.73,363.49,146,,,,,
J0042,1,0.04,416,0.31,0.00,0.00,0.00,129,,,,,
J0044,1,0.29,"2,075",0.08,272.94,299.00,157.29,166,,,,,
J0047,1,0.08,"1,192",0.12,442.30,346.00,143.11,143,,,,,
J0048,1,0.25,772,0.18,270.45,333.00,178.93,139,,,,,
J0049,1,0.15,"1,185",0.13,359.47,329.00,125.75,154,,,,,
J0055,1,0.12,879,0.14,991.73,935.00,391.50,123,,,,,
J0058,1,0.22,595,0.19,499.49,473.00,244.17,113,,,,,
J0062,1,0.06,"8,050",0.02,521.60,499.00,273.98,161,,,,,
J0073,1,0.09,"2,833",0.12,417.52,355.00,146.04,340,,,,,
J0074,1,0.24,"2,350",0.06,305.26,299.00,128.52,141,,,,,
J0075,1,0.11,"1,036",0.14,446.04,363.00,154.66,145,,,,,
J0077,1,0.21,"1,662",0.08,"1,174.06","1,152.83",482.90,133,,,,,
J0078,1,0.28,"7,400",0.02,880.41,999.00,536.87,148,,,,,
J0080,1,0.17,"3,300",0.04,712.57,678.00,331.58,132,,,,,
J0081,1,0.12,"2,820",0.05,815.52,684.38,362.93,141,,,,,
J0085,1,0.24,204,0.54,341.92,360.00,145.18,110,,,,,
J0087,1,0.28,"2,920",0.00,251.24,329.00,146.09,146,,,,,
J0088,1,0.20,"1,771",0.07,439.17,399.00,197.01,124,,,,,
J0089,1,0.18,235,0.48,381.20,360.00,194.11,113,,,,,
J0090,1,0.15,"1,320",0.10,655.38,599.20,297.88,132,,,,,
J0091,1,0.02,"3,020",0.00,329.57,298.80,147.82,151,,,,,
J0092,1,0.12,"1,771",0.07,"1,023.77",908.45,386.97,124,,,,,
J0093,1,0.09,"1,310",0.10,819.90,758.50,334.97,131,,,,,
J0094,1,0.24,600,0.22,547.34,563.56,224.96,132,,,,,
J0095,1,0.17,"2,162",0.08,585.37,648.64,304.68,173,,,,,
J0096,1,0.05,619,0.21,682.31,561.00,297.14,130,,,,,
J0097,1,0.18,519,0.21,554.64,483.21,207.18,109,,,,,
J0098,1,0.11,"1,729",0.07,391.10,411.89,173.27,121,,,,,
J0101,1,0.16,717,0.18,934.26,799.00,363.21,129,,,,,
J0103,1,0.13,"6,500",0.02,"1,396.35","1,346.00",563.89,130,,,,,
J0104,1,0.19,"8,000",0.02,485.03,442.00,206.00,160,,,,,
J0105,1,0.16,"1,220",0.10,"1,110.91",999.00,460.67,122,,,,,
J0106,1,0.01,492,0.25,"1,481.93","1,199.00",572.30,123,,,,,
J0108,1,0.03,"5,467",0.03,"1,479.89","1,166.00",636.26,164,,,,,
J0109,1,0.22,"6,150",0.02,"1,300.25","1,228.00",652.88,123,,,,,
J0111,1,0.17,871,0.14,418.31,423.00,230.39,122,,,,,
J0112,1,0.16,"11,800",0.01,347.49,355.25,156.95,118,,,,,
J0113,1,0.28,"11,100",0.01,660.91,715.09,355.09,111,,,,,
J0117,1,0.21,"13,600",0.01,522.28,496.06,229.94,136,,,,,
J0118,1,0.19,"1,007",0.15,450.28,422.16,167.05,151,,,,,
J0119,1,0.22,718,0.22,786.65,758.73,385.15,158,,,,,
J0120,1,0.18,"1,411",0.09,359.89,365.00,175.29,127,,,,,
J0122,1,0.10,211,0.61,381.98,317.62,133.89,129,,,,,
J0123,1,0.29,"4,233",0.03,207.02,267.00,136.46,127,,,,,
J0124,1,0.14,416,0.38,516.83,484.43,260.10,158,,,,,
J0126,1,0.13,833,0.18,767.59,838.67,419.96,150,,,,,
J0127,1,0.04,"1,825",0.08,"1,339.36","1,199.00",626.59,146,,,,,
J0129,1,0.23,68,1.80,660.79,728.33,285.47,122,,,,,
J0130,1,0.23,650,0.20,614.60,671.50,277.07,130,,,,,
J0131,1,0.03,"1,450",0.08,429.08,342.00,151.27,116,,,,,
J0132,1,0.09,625,0.20,386.53,358.14,143.92,125,,,,,
J0133,1,0.26,"1,675",0.08,337.46,377.80,156.17,134,,,,,
J0134,1,0.00,665,0.17,787.53,695.00,360.21,113,,,,,
J0135,1,0.14,"1,092",0.13,600.07,591.00,235.37,142,,,,,
J0136,1,0.04,"1,482",0.11,541.10,499.00,228.70,163,,,,,
J0137,1,0.28,118,0.96,651.31,841.00,347.11,113,,,,,
J0138,1,0.22,"1,092",0.12,466.29,474.00,188.49,131,,,,,
J0139,1,0.25,561,0.23,382.96,397.71,197.24,129,,,,,
J0140,1,0.19,"1,350",0.10,603.36,588.00,312.40,135,,,,,
J0141,1,0.13,"1,667",0.09,500.95,475.00,242.84,150,,,,,
J0142,1,0.09,351,0.35,460.73,428.00,204.32,123,,,,,
J0143,1,0.16,"13,100",0.01,729.76,642.50,264.03,131,,,,,
J0145,1,0.18,616,0.19,531.25,526.00,212.33,117,,,,,
J0147,1,0.08,"1,871",0.07,666.58,595.00,326.55,131,,,,,
J0148,1,0.08,"4,133",0.03,619.63,636.00,294.58,124,,,,,
J0149,1,0.08,507,0.30,338.90,315.00,150.90,152,,,,,
J0150,1,0.14,"2,850",0.04,433.43,426.00,218.21,114,,,,,
J0151,1,0.06,"1,680",0.10,555.75,497.00,263.22,168,,,,,
J0152,1,0.12,"2,528",0.18,"1,279.34","1,160.20",571.52,455,,,,,
J0153,1,0.25,407,0.28,410.91,443.00,172.64,114,,,,,
J0154,1,0.27,"3,425",0.04,347.53,377.00,186.64,137,,,,,
J0155,1,0.16,"14,900",0.01,694.01,627.00,289.55,149,,,,,
J0157,1,0.02,328,0.39,"1,038.32",793.91,341.77,128,,,,,
J0158,1,0.09,"1,225",0.12,985.04,831.80,406.07,147,,,,,
J0159,1,0.03,60,2.09,869.75,647.67,249.22,125,,,,,
J0160,1,0.11,893,0.14,330.94,352.00,136.01,125,,,,,
J0161,1,0.22,"1,436",0.11,412.67,473.00,239.90,158,,,,,
J0162,1,0.04,"1,050",0.12,"1,201.79","1,189.25",553.56,126,,,,,
J0163,1,0.28,"2,086",0.07,"1,037.70","1,128.97",563.18,146,,,,,
J0164,1,0.12,367,0.36,439.14,365.77,183.46,132,,,,,
J0165,1,0.08,"13,800",0.01,384.13,367.80,199.98,138,,,,,
J0166,1,0.01,"1,236",0.11,623.21,458.00,204.44,136,,,,,
J0167,1,0.08,621,0.19,317.08,321.78,149.48,118,,,,,
J0171,1,0.19,"7,550",0.02,544.32,488.00,264.13,151,,,,,
J0172,1,0.25,"1,290",0.10,439.02,499.00,250.81,129,,,,,
J0173,1,0.22,"1,210",0.10,369.16,436.00,172.48,121,,,,,
J0176,1,0.07,580,0.25,439.11,387.00,197.09,145,,,,,
J0178,1,0.04,34,3.70,343.24,313.67,164.79,127,,,,,
J0179,1,0.28,"1,064",0.11,572.36,691.43,322.75,117,,,,,
J0181,1,0.05,"1,562",0.08,438.77,399.00,152.59,125,,,,,
J0183,1,0.09,900,0.13,549.91,454.00,231.02,117,,,,,
J0184,1,0.02,635,0.20,458.87,378.00,164.71,127,,,,,
J0187,1,0.05,"13,400",0.01,646.29,587.00,246.85,134,,,,,
J0189,1,0.15,"2,780",0.05,366.26,341.00,173.77,139,,,,,
J0190,1,0.20,"2,900",0.04,374.59,360.00,153.43,116,,,,,
J0192,1,0.25,39,3.58,267.17,311.00,151.61,141,,,,,
J0196,1,0.16,"4,175",0.04,491.76,490.00,216.83,167,,,,,
J0197,1,0.16,"2,650",0.06,648.30,706.33,312.41,159,,,,,
J0198,1,0.04,879,0.19,575.48,538.40,247.08,167,,,,,
J0199,1,0.22,"1,650",0.08,476.85,474.50,253.69,132,,,,,
J0201,1,0.01,"1,085",0.13,823.47,747.00,304.77,141,,,,,
J0202,1,0.29,222,0.54,442.97,505.67,250.54,120,,,,,
