SKU,Week,Promo Depth %,Traffic,Conversion %,AOV,Base Price,Unit Cost,Units Sold
C,1,0.1,13684,0.0649021758055597,1636,1440,1456,1065
D,2,0.15,12208,0.08167737439636488,1451,2602,1087,1296
A,3,0.15,10276,0.05950364770915126,1604,2769,859,794
C,4,0.0,7062,0.06181862635055953,1198,2998,1354,436
C,5,0.1,17076,0.05420328146868397,612,2238,869,1110
D,6,0.2,5064,0.022033530139527614,501,2434,1445,156
A,7,0.1,13006,0.028631314159464356,1141,1062,1149,446
A,8,0.2,7568,0.022514334854938742,719,2587,437,238
C,9,0.0,10463,0.07091283290110244,1354,2991,629,741
B,10,0.05,18440,0.04514847848610613,1748,1423,962,915
C,11,0.15,7027,0.060685655293176224,884,1816,837,554
C,12,0.0,7695,0.09260531791408745,1926,1680,426,712
C,13,0.15,14687,0.03994337833191,1653,2849,625,762
C,14,0.05,10258,0.052830633842850375,1576,2127,1197,596
D,15,0.05,10618,0.0804440910834439,1229,1252,683,939
A,16,0.0,11736,0.0383038532393298,1939,1983,1278,449
D,17,0.05,5391,0.02615839278630344,746,2856,1359,155
D,18,0.2,18986,0.043180116233101445,1335,2482,852,1147
D,19,0.05,17706,0.032897702980320354,1962,1954,1419,640
C,20,0.15,19624,0.09437581218740584,702,1203,1215,2407
B,21,0.15,17666,0.08464963036515336,1707,2999,1058,1944
A,22,0.15,10892,0.07067230052083388,622,2901,946,1000
B,23,0.15,8561,0.08971684721501742,900,2496,1472,998
D,24,0.2,15470,0.08429376615192916,1266,1427,416,1825
D,25,0.1,11184,0.034925604710882865,793,1386,557,468
B,26,0.0,8099,0.09140471987919822,779,2448,876,740
B,27,0.15,11278,0.06314737935325206,1383,2243,1469,925
B,28,0.05,13392,0.08459521241312501,697,2245,917,1246
D,29,0.15,19151,0.09168730399387946,1481,903,498,2282
D,30,0.05,18067,0.04544027799774911,1251,1053,1460,903
A,31,0.05,8104,0.02880415396221414,643,2296,679,256
A,32,0.15,12215,0.038234813003355336,1108,898,896,607
D,33,0.2,17790,0.05416862309010051,1724,2684,701,1349
B,34,0.05,7454,0.08544118127379946,1647,2719,580,700
B,35,0.05,16837,0.08885844666050748,686,1677,1006,1645
A,36,0.15,19039,0.020556170442495258,1849,1137,1099,508
D,37,0.05,13996,0.06085978420620526,963,1756,1392,936
A,38,0.05,19434,0.05339288025190232,1872,2504,590,1141
A,39,0.15,7731,0.03776862483765842,1159,960,652,379
C,40,0.15,19183,0.029589229386694622,1263,2403,1380,737
C,41,0.0,15965,0.047009213712290235,1454,1197,1327,750
C,42,0.2,13154,0.09543277631300154,902,2100,527,1757
B,43,0.2,14762,0.04585623456166042,1869,1615,417,947
D,44,0.05,10056,0.06150324973946929,646,2327,965,680
D,45,0.2,19948,0.07624151671161424,1671,2719,969,2129
D,46,0.05,13110,0.04909036819034352,1363,2215,1085,707
D,47,0.0,18773,0.09774256661767686,988,1958,1025,1834
C,48,0.15,15882,0.09699578359536891,1428,2018,1253,2002
B,49,0.15,8840,0.04014258366602913,1050,1200,1361,461
B,50,0.15,6028,0.05977988047139084,837,1439,554,468
